v3k;mod0
12022;36.475
5765.2;34.29
5212.6;33.35
5088.1;34.44
3338.4;32.831
11449.8;36.175
5354.7;35.28
4851.5;33.596
5642.2;34.366
4437.7;34.126
5617;34.016
5928.6;34.599
4769.5;33.454
4676.4;34.61
5924.6;33.285
5383.1;34.353
5138;35.19
4149.7;33.611
5436.8;34.97
6340.5;34.027
4931.2;34.001
4909.4;34.63
6339.1;34.745
5512;34.214
3574.2;34.174
5631;33.929
5005.4;33.96
4144.1;34.611
6333.3;33.909
4674.6;33.399
5481.5;34.037
4111.4;34.505
5140.1;34.175
5185;34.475
5414.9;34.36
4502.2;34.073
5657.3;34.648
7357.1;33.875
6779.3;35.029
6590.3;34.4
4339.3;34.73
4885;34.53
6094;34.953
4222.2;33.552
10989.9;37
4160;34.046
4975.7;33.491
4349.5;33.908
8293.8;35.448
7038.5;35.652
13890.8;36.769
6185.7;34.538
6769.7;34.532
6890.4;35.842
7025.4;35.35
6520.1;35.296
11981.8;36.586
6927.8;34.78
6266.3;34.858
7366.7;34.831
7690.3;35.79
6823.4;34.134
7965.4;35.855
4191.7;34.554
4327.4;34.363
5339.1;33.471
6486.5;34.696
4618.5;32.884
4353.4;34.101
4422.8;33.942
11319.6;36.417
4340.9;33.599
5148.5;33.758
5236.2;33.788
5400.7;34.871
8565.5;36.02
4892;34.186
10222;35.11
6331.6;34.981
3284.5;33.515
6452.8;34.718
6650;34.216
6482.9;35.364
7137.1;34.908
6894;33.024
7178.7;34.23
8156.8;35.563
3245.6;33.72
12375.8;37.21
8779.1;34.62
10063;36.092
6744.4;35.129
7055.9;35.317
8931.2;35.46
5979.1;33.7
9243.4;35.55
3214.5;33.48
3824;33.33
3421.7;33.799
3393;32.473
3141.6;32.24
3157.4;33.038
8834.2;35.573
3451.6;32.879
4623.1;34.214
8744.2;36.083
8461.4;35.993
11170.7;35.579
5123.5;34.66
5217.7;34.611
16635.6;36.987
7035;34.802
5252.7;35.438
3135.5;33.021
4215.6;34.07
4629.4;34.362
4447.2;34.455
4823.1;33.882
4621.1;34.435
4826.3;34.295
4074;34.037
4939.3;33.941
4160.1;33.525
4909.8;34.32
5558;34.502
3129.1;34.723
4633.5;33.994
3908.2;33.3
6624.1;34.9
5422.5;34.118
7951.3;34.59
5423.8;34.4
6560.5;34.614
3287.4;33.199
3121.4;32.978
5395.4;34.952
3077.4;34.132
6185.6;35.05
4665.9;34.73
7537.9;34.995
7365.6;35.43
6743.3;35.268
6885.9;35.469
6614;34.484
6657.7;35.631
6284.9;34.728
7205.9;35.26
8891.9;35.823
6516.9;35.523
4896.9;34.215
4934.9;33.96
4292.2;34.456
6360.8;34.775
5275.2;34.797
4660.1;33.2
4372.7;33.769
5173.1;34.277
4171.9;33.89
5937.1;34.794
5033.9;34.19
4552.5;34.167
6098.9;34.138
3922.7;33.976
7564.1;34.879
7392.3;35.194
7487.1;35.066
7601.7;35.212
3249.4;33.13
3094.7;33.857
6611.7;35.047
3063.6;32.747
3422.5;33.38
6645.6;35.026
8005.1;34.239
7613.7;35.28
6991.4;35.322
8341.1;35.095
7336.3;35.452
8219.4;35.07
6581.4;35.052
3102.1;31.82
3151.3;33.593
6203.6;34.359
4011.6;33.398
4571.7;33.44
4199.2;31.21
4744;33.987
8688.1;35.849
4433.1;34.552
14598.9;36.92
7354.8;34.623
3373;33.466
5161;33.69
4772.7;34.25
4909.5;33.88
5316;33.62
9252.4;35.455
4340;33.81
6554.4;34.769
7234.1;35.08
3087.4;33.454
4709.8;34.04
9048.6;35.155
3466.8;33.066
5534.8;34.624
10964.3;36.423
4453.8;34.696
5374.6;32.62
5062.6;33.78
6778.2;35.309
3265.7;32.785
3072.3;34.534
6634.4;35.87
4546.3;34.478
4895.2;34.198
3545.8;32.461
6589;34.776
3702.1;33.61
5266.6;34.56
6621.5;35.032
4915.3;35.08
4082.1;34.99
3141.6;33.096
4063.3;33.39
6589.2;34.957
6579.7;35.663
7093.3;34.617
3956.8;33.34
7178.5;35.02
11187.5;36.185
4203.5;34.375
4536.3;34.56
7906.1;35.52
3730.4;32.5
3199.5;32.902
3087.1;33.18
3607.8;32.12
3145.3;33.256
6936.8;34.813
6923.9;34.878
7792.7;35.006
6444.8;34.669
11263.6;36.49
4671.9;34.124
4364.6;33.078
3031.4;32.84
6703.4;35.114
5734.3;34.662
10162.8;35.792
3055.1;33.259
3854.9;33.56
3664.4;34.368
4239;33.381
4198.9;33.667
4481.8;34.319
5082.1;33.738
5756.2;35.646
3098.5;32.97
3503.7;32.942
3748.9;33.5
3570.6;33.734
3254.7;32.794
3617.7;32.39
7878.4;33.807
5736.7;34.9
3372.9;33.11
5534.7;34.562
4706.3;34.269
4571.8;34.26
3917.8;33.56
3961;34.704
6289.2;34.872
3389.1;32.58
3203.8;33.229
3102.5;33.127
3119.5;32.507
3119.3;32.687
4508;33.48
3751.3;32.88
4210.8;32.71
3978;32.469
3051.1;32.46
3641;33.435
4106.7;33.592
3730.4;34.154
3489.5;33.446
3048.7;33.282
4347.8;34.197
3434.4;32.89
8413.3;35.74
4002.1;33.49
3366.5;32.612
4210.4;33.802
4011.2;32.96
3315.3;33.877
5004.1;35.12
7892.3;35.406
4210.4;33.5
4155.4;33.76
5939.1;31.257
16268.7;36.743
3897.9;33.441
4398.4;34.163
3152.5;32.85
4011.7;33.827
3934.5;32.98
5105.1;34.456
3568.7;33.273
7083.3;35.039
3220.9;33.5
5980.5;34.483
3052.1;32.771
3346.4;32.782
3388.1;32.58
9007.8;35.382
3071.7;33.05
5267.8;34.461
3203.6;32.907
4875.4;34.711
3748.8;33.956
3002.8;32.834
8048.9;35.218
5424.1;34.915
5471.8;33.954
3530;33.224
3039;32.867
4628.4;33.484
3331.3;32.38
3135.2;32.025
3035.5;32.3
4068.3;34.447
3046.8;32.304
3160.2;32.472
3119.9;32.735
3106.9;31.666
3164.2;32.431
3448;32.964
4432.6;33.66
4115;33.839
3962.8;34.386
6168.3;34.78
3823.3;34.109
4151.4;33.631
3074.6;32.643
3263.1;33.015
3671.3;33.8
3196.6;32.969
3440.9;33.061
3712.2;33.012
3032.6;33.039
4578.3;33.778
3364.4;33.13
9193;35.588
3470.5;33.14
4440.2;34.24
3244.8;33.004
7197.1;35.118
3017.8;32.19
3266.2;32.32
4939.3;33.861
4133.1;33.257
4479.1;32.62
5250.9;35.602
5173.9;34.31
3073.9;32.326
3156.8;32.91
3304.4;32.774
3070.8;32.557
5050.6;34.72
4651.1;34.364
4316.6;33.966
4051.8;33.581
4363.9;33.242
4498.7;33.627
3231.5;33.067
7181.8;35.374
4093;33.2
4000.5;33.554
4578.3;33.49
7459.9;35.117
4190;33.596
3132.3;32.523
4537.6;33.752
4763.1;34
7234;34.997
3690.5;33.861
5274.8;34.095
3733.1;33.717
3121;33.179
3737.7;33.647
3032.7;33.23
3159.9;33.173
8652.3;36.09
4545.4;34.252
4404.3;34.145
3333;33.117
4555.3;34.04
6913.5;35.03
4585.4;33.719
3815;33.325
5523.5;33.766
3287.1;33.695
4589.7;34.181
3324.8;33.425
5559.1;34.56
3626.6;33.32
4944.6;33.849
5737;34.952
3142.2;33.26
6969;34.758
8418.6;34.708
8794.4;34.794
6305.1;35.028
6964.1;34.813
3306.7;32.696
3206.1;32.86
3247.3;33.185
3504;32.09
3835.4;32.573
3385.3;33.691
3099.6;31.57
3919;34.13
5287.9;33.992
5723.5;33.626
4577.5;34.844
3756.1;33.85
3892.5;33.883
5222.9;35.397
4861.6;34.402
4242;33.752
7419.9;35.015
6496.5;35.053
4535.7;33.129
4614.6;34.477
3975.6;33.226
4668.2;34.35
7967.9;35.673
4518.5;33.787
7665.5;35.26
7399.1;35.444
5595.3;34.886
8480;35.443
7257.9;35.089
5286.9;34.731
8202.8;34.407
11507.7;36.593
7564.1;35.409
3116.4;32.463
3454.4;33.06
3214.7;32.973
5503;34.453
4448;33.708
4072.5;34.604
5627.1;35.203
4517.2;34.222
3794;33.963
4539.9;34.2
4887.1;34.233
4384.9;33.877
4987.3;33.846
4678.5;34.073
3324;32.929
3013.9;32.218
4285.2;33.81
5225.4;34.306
5727.6;34.94
7651.2;35.321
3232.4;32.117
3426.2;32.934
3042.9;33.354
4475.1;34.461
3545.5;33.85
4045.1;33.383
3374.1;33.277
3007.6;32.447
3513.7;32.84
8124.3;34.871
8247.9;35.192
7234.9;34.942
5922.4;35.062
4912.6;33.916
4620.9;34.796
3053.1;33.657
3980.4;33.783
4177;33.23
6713.9;35.056
7609.7;35.208
3377.1;33.367
3185.1;33.2
3393.4;33.597
3262.2;32.898
7774.5;35.33
4182.7;34.193
3491.3;32.944
4586.4;33.463
4464.7;34.729
3215.2;32.7
4012.9;33.727
3055.4;33.24
4544.4;33.463
4008.5;33.47
3599.6;33.453
5222.3;34.169
4171.9;34.584
4761.7;32.809
4803.1;34.021
4039;34.155
4830.3;33.867
4917.3;33.885
5377.1;34.574
4568.1;34.349
3154.1;32.894
6264.3;33.803
6526.1;34.599
6254.6;34.54
3093.8;33.075
6559.1;33.56
4226.8;33.3
4996.4;33.988
5555.2;34.709
4739.6;35.051
4092.5;33.93
5033.4;34.004
4726.3;33.818
3610.8;33.545
6874.8;34.43
3081.1;33.11
5465.7;34.796
3163.6;32.95
4987.5;34.14
5950.6;34.976
5852.9;32.76
3306.2;33.26
4219.7;34.036
6033.5;33.536
3613.7;34.37
5177.8;34.351
5015;33.897
5129.5;34.458
8044.7;35.153
4146.4;33.205
4813.5;33.483
3813.7;33.777
7447.4;35.17
3147.7;33.33
6677.6;34.901
3073.2;31.94
7917.8;35.35
6842.5;35.075
9181.4;35.826
9269.7;35.971
6563.2;35.066
3204.7;33.33
4505.7;33.77
9057.4;35.46
4842.8;34.24
9430;35.718
3035;33.421
6712.8;35.179
9174.3;35.535
3271.7;33.248
4145.5;33.78
3992.3;33.15
4501.3;34.473
4410.3;34.026
7963.1;35.37
5681;34.17
4467.3;34.484
3596.9;32.837
3551.3;32.87
3400.3;33.058
3015.3;33.95
6874.5;35.231
4597.3;33.704
4426.3;33.976
4293.9;34.131
3946.6;33.71
4157.3;34.24
3840;33.7
4975.2;34.819
4461.9;33.755
4861.2;34.414
7624.9;35.596
5791.5;33.05
4582.1;33.571
5049;33.805
8954.8;35.301
7216.1;35.168
4404.6;34.621
5323.9;34.34
5271.5;34.033
7436.3;34.952
5091;34.437
3057.8;32.419
3413.8;33.354
4630.4;34.15
8741.1;36.47
4278.4;34.13
8133.6;34.429
7168.8;35.493
8198.4;35.461
7216.9;35.082
4368.3;33.93
8449.8;35.46
4370.9;34.8
3213.6;32.887
5016.7;33.706
3244;32.426
3741.2;34.3
4096.3;33.216
3425;33.902
4221.5;33.815
3806.5;33.71
4078.8;33.844
3342.3;32.808
3547.5;33.53
3731;32.661
5575.2;33.302
4399.7;33.803
4309.1;34.135
3339.3;32.59
3045.6;33.284
3115.2;32.882
8069.1;35.131
3160.1;32.9
5615.7;34.468
3057.7;31.83
3137.5;32.97
3193.7;33.14
4869.8;33.783
3026;32.32
3154.3;33.349
3074.9;32.45
3904.2;33.65
3156.5;33.16
25594.2;37.25
22568.3;37.59
7825.7;35.255
28019.4;37.57
4835.2;33.97
8707.2;35.65
4023.8;33.97
5495.2;34.521
6216.9;35.15
4461.4;34.887
4872.2;34.198
6214.7;35.183
8475.4;35.524
7724.5;35.275
7472.1;35.332
9316.4;35.77
3037.7;31.36
6855.8;35.148
20685.1;37.779
12652.7;36.515
6752.4;35.187
3048.4;32.764
9738.7;35.9
9479;35.672
8180.5;35.787
7265.1;34.954
13986.5;36.41
7564.3;34.889
8048.9;33.349
6389.9;35.43
6820.3;34.363
8612.3;35.907
7514.6;35.167
7415;33.682
7707.5;33.051
8437.8;34.327
6401.9;32.918
6680.1;33.905
7570.7;35.021
7448.8;34.27
5720.9;35.043
7415.3;35.113
7186.1;35.689
7291.6;34.847
7274.8;34.982
7208.6;33.102
6280.7;35.038
7300.7;36.081
6673;35.185
7935.6;34.959
6008.3;35.214
7095.7;34.696
9730.1;35.102
6327.3;34.286
20565.5;37.742
7057.4;35.658
7850.7;34.984
6523.4;35.229
7085.4;35.597
7242.7;34.864
8277;35.178
7167.9;35.514
7173.4;33.986
8659.1;33.931
7832.3;35.237
7975;35.242
6841.1;34.607
7504.7;34.907
7772.4;34.586
6000.7;34.918
6156.4;34.446
8443.1;34.573
8048.2;34.83
6221.9;34.668
8464.6;34.05
5728.7;33.876
6865.3;34.089
8382.6;35.245
7165;33.935
7820.6;33.526
7869.8;35.29
5731;35
8497.7;34.013
7547.7;34.992
6001.2;34.714
8913.5;34.854
6230.6;35.194
7875.8;34.525
7678.1;33.553
6490.6;35.426
8475.4;34.239
8628.2;35.16
10329.3;36.03
6288;34.395
10674.5;35.891
7325.5;35.091
3788.6;34.019
10952;35.98
10238.9;35.85
14930.8;34.72
28490.5;38.269
9898.1;35.761
9013.9;35.812
7922.1;35.302
14480.3;36.54
5507.9;34.264
14607.5;36.193
18506.8;36.43
19951.2;36.65
10091.3;35
16981.3;36.88
6430.1;35.399
13248.4;35.67
19283.6;36.6
5804.4;34.005
3244.5;33.187
5926.8;34.39
13826.9;36.385
23557.3;37.518
23451.1;36.95
3000.1;34.16
13096.5;36.492
26711.7;37.11
9212.9;35.507
10447.9;35.903
7981.8;35.632
8861.8;35.066
4687;34.348
13179.5;36.579
25649.4;37.28
27736.8;37.43
12621.4;36.1
26258.3;37.831
11603.2;35.733
3981.8;34.18
25457.4;37.919
18425.5;37.2
16909.5;37.03
21212.3;37.6
11344.8;37.21
9846.2;36.146
12361.4;36.548
6854.1;35.25
10229.5;35.81
19522.8;37.556
8938.5;35.626
26566.8;37.26
29640.7;38.46
17790.1;38.88
22365.9;37.62
